epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,101.862,0.50387,1.21535,0.82308,0.98253,0.98313,0.98978,0.91226,0.3686,0.47586,0.79276,0.00998736,0.00332912,0.00998736,0.00332912,0.00998736,0.00332912,0.00998736,0.00332912
2,183.74,0.49996,0.60748,0.82738,0.98489,0.99654,0.99353,0.912,0.41175,0.3778,0.80799,0.0198554,0.00661848,0.0198554,0.00661848,0.0198554,0.00661848,0.0198554,0.00661848
3,263.151,0.52448,0.52343,0.84077,0.9888,0.98733,0.99344,0.91938,0.39201,0.34795,0.81505,0.0295915,0.00986384,0.0295915,0.00986384,0.0295915,0.00986384,0.0295915,0.00986384
4,344.029,0.49878,0.44011,0.83698,0.9849,0.98994,0.98886,0.91651,0.37044,0.33273,0.81119,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,423.213,0.4545,0.38377,0.82853,0.98577,0.99835,0.9928,0.94923,0.32918,0.2808,0.80162,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,508.458,0.43216,0.34731,0.82449,0.99087,0.99734,0.99465,0.93941,0.32234,0.2762,0.79641,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,590.282,0.41139,0.32597,0.81744,0.99274,0.98779,0.9935,0.94556,0.31944,0.26809,0.80017,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,679.164,0.39821,0.30786,0.81582,0.98847,0.99542,0.99309,0.95676,0.3074,0.24541,0.79559,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,761.756,0.38761,0.29746,0.81308,0.99086,0.99655,0.99384,0.95911,0.29834,0.23406,0.79591,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,854.7,0.37722,0.28774,0.80945,0.99018,0.99151,0.99436,0.96109,0.29361,0.22659,0.79403,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,939.393,0.3687,0.27881,0.80821,0.97811,0.99187,0.9928,0.96116,0.29099,0.24472,0.79543,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1026.65,0.36491,0.27169,0.81037,0.98511,0.99654,0.99445,0.96323,0.29258,0.22169,0.79202,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1112.93,0.35902,0.26429,0.80712,0.99312,0.99597,0.99373,0.96572,0.28327,0.21851,0.79155,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1199.65,0.35322,0.26024,0.8068,0.99078,0.98866,0.99108,0.96075,0.2834,0.21888,0.7915,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1279.87,0.34878,0.25521,0.8048,0.99332,0.99551,0.9943,0.9674,0.28037,0.20393,0.7918,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
